time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.187,     -88.188,      43.662,       0.000,       0.401,       0.375,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.180,     -88.198,      28.664,       0.000,       1.959,       0.024,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.217,     -88.043,     152.923,       0.000,      -1.671,      -1.124,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.288,     -88.157,      90.450,       0.000,      -0.794,       2.268,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.188,     -88.193,      45.235,       0.000,       1.822,       0.472,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.198,     -88.118,      72.019,       0.000,      -0.169,       0.235,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.226,     -88.085,     146.702,       0.000,      -0.422,       0.189,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.236,     -88.084,     167.528,       0.000,      -0.940,       0.379,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.188,     -88.111,     104.408,       0.000,      -1.460,      -0.441,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.239,     -88.076,     220.943,       0.000,      -0.073,      -1.046,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.223,     -88.065,     195.882,       0.000,       1.013,      -0.416,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.203,     -88.127,      87.960,       0.000,       0.302,       0.288,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.156,     -88.198,     110.528,       0.000,      -0.613,      -1.585,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.202,     -88.063,     187.267,       0.000,      -0.132,      -1.065,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.146,     -88.170,      58.246,       0.000,       0.073,       0.126,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.153,     -88.169,      71.722,       0.000,      -0.185,      -0.950,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.168,     -88.265,      47.040,       0.000,      -0.660,       0.573,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.185,     -88.247,      23.492,       0.000,      -0.473,       1.563,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.127,     -88.216,      27.491,       0.000,      -0.584,      -0.315,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.128,     -88.247,      25.883,       0.000,       0.617,      -0.501,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.132,     -88.265,      66.526,       0.000,       0.285,      -0.802,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.189,     -88.149,     144.020,       0.000,       0.052,       0.517,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.221,     -88.178,     102.073,       0.000,      -2.619,       1.495,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.131,     -88.209,      88.331,       0.000,      -0.876,      -1.673,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.143,     -88.262,     114.441,       0.000,       0.358,       0.478,          36,           0,           1,           1,          25,   1.667E-02,
