time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.182,     -88.169,      26.433,       0.000,       0.401,       0.400,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.179,     -88.174,      34.711,       0.000,       1.959,       0.054,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.216,     -88.029,     147.027,       0.000,      -1.671,      -1.034,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.268,     -88.152,      74.875,       0.000,      -0.795,       2.005,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.186,     -88.167,      42.668,       0.000,       1.822,       0.547,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.195,     -88.104,      67.942,       0.000,      -0.169,       0.233,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.221,     -88.069,     137.602,       0.000,      -0.422,       0.110,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.229,     -88.070,     157.328,       0.000,      -0.940,       0.368,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.184,     -88.100,      97.594,       0.000,      -1.462,      -0.401,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.233,     -88.060,     201.851,       0.000,      -0.073,      -0.999,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.222,     -88.044,     191.322,       0.000,       1.013,      -0.414,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.204,     -88.104,      92.047,       0.000,       0.302,       0.306,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.158,     -88.176,     108.413,       0.000,      -0.613,      -1.468,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.198,     -88.051,     175.920,       0.000,      -0.132,      -0.988,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.147,     -88.152,      52.352,       0.000,       0.073,       0.107,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.160,     -88.144,      74.977,       0.000,      -0.185,      -0.788,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.169,     -88.232,      50.297,       0.000,      -0.660,       0.565,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.182,     -88.218,      26.827,       0.000,      -0.473,       1.498,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.128,     -88.196,      25.621,       0.000,      -0.584,      -0.340,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.129,     -88.224,      28.610,       0.000,       0.617,      -0.515,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.129,     -88.242,      55.659,       0.000,       0.291,      -0.732,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.185,     -88.132,     136.997,       0.000,       0.052,       0.458,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.218,     -88.152,      93.193,       0.000,      -2.624,       1.433,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.137,     -88.181,      96.333,       0.000,      -0.875,      -1.537,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.141,     -88.239,     104.369,       0.000,       0.358,       0.379,          36,           0,           1,           1,          25,   1.667E-02,
 3/ 8/25  2: 0,      37.125,     -88.235,      13.465,       0.000,       0.615,       0.105,          35,           0,           1,           1,          26,   1.667E-02,
 3/ 8/25  2: 0,      37.202,     -88.154,     179.197,       0.000,      -0.097,       0.429,          34,           0,           1,           1,          27,   1.667E-02,
 3/ 8/25  2: 0,      37.110,     -88.283,      17.947,       0.000,       0.338,      -1.278,          33,           0,           1,           1,          28,   1.667E-02,
 3/ 8/25  2: 0,      37.143,     -88.231,      13.262,       0.000,      -1.398,       0.789,          32,           0,           1,           1,          29,   1.667E-02,
 3/ 8/25  2: 0,      37.145,     -88.231,       5.120,       0.000,       0.770,       1.076,          31,           0,           1,           1,          30,   1.667E-02,
 3/ 8/25  2: 0,      37.122,     -88.248,       4.716,       0.000,      -1.159,       0.618,          30,           0,           1,           1,          31,   1.667E-02,
 3/ 8/25  2: 0,      37.161,     -88.223,      82.156,       0.000,       0.451,       1.069,          29,           0,           1,           1,          32,   1.667E-02,
 3/ 8/25  2: 0,      37.127,     -88.248,      84.201,       0.000,      -0.692,      -0.407,          28,           0,           1,           1,          33,   1.667E-02,
 3/ 8/25  2: 0,      37.137,     -88.225,      81.979,       0.000,      -3.678,       0.120,          27,           0,           1,           1,          34,   1.667E-02,
 3/ 8/25  2: 0,      37.117,     -88.265,      68.426,       0.000,       0.144,      -0.192,          26,           0,           1,           1,          35,   1.667E-02,
 3/ 8/25  2: 0,      37.112,     -88.257,      41.123,       0.000,       0.410,       0.484,          25,           0,           1,           1,          36,   1.667E-02,
 3/ 8/25  2: 0,      37.109,     -88.280,       0.337,       0.000,       0.894,       1.807,          24,           0,           1,           1,          37,   1.667E-02,
 3/ 8/25  2: 0,      37.117,     -88.257,      30.117,       0.000,      -1.163,       0.988,          23,           0,           1,           1,          38,   1.667E-02,
