time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.191,     -88.180,      30.605,       0.000,       0.401,       0.388,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.187,     -88.182,      34.140,       0.000,       1.959,       0.002,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.228,     -88.023,     156.519,       0.000,      -1.671,      -1.093,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.290,     -88.155,      78.084,       0.000,      -0.795,       2.291,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.195,     -88.177,      45.620,       0.000,       1.822,       0.532,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.205,     -88.104,      71.460,       0.000,      -0.169,       0.273,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.226,     -88.078,     138.444,       0.000,      -0.422,       0.124,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.244,     -88.066,     170.633,       0.000,      -0.941,       0.463,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.197,     -88.092,     107.752,       0.000,      -1.460,      -0.403,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.243,     -88.065,     208.153,       0.000,      -0.073,      -1.023,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.229,     -88.048,     195.991,       0.000,       1.012,      -0.482,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.212,     -88.109,      91.796,       0.000,       0.302,       0.312,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.161,     -88.186,     105.375,       0.000,      -0.613,      -1.558,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.206,     -88.052,     181.293,       0.000,      -0.132,      -1.060,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.153,     -88.156,      53.075,       0.000,       0.073,       0.130,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.161,     -88.154,      75.799,       0.000,      -0.185,      -0.937,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.176,     -88.248,      45.225,       0.000,      -0.660,       0.590,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.193,     -88.232,      21.496,       0.000,      -0.473,       1.627,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.132,     -88.205,      24.034,       0.000,      -0.584,      -0.382,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.135,     -88.233,      25.479,       0.000,       0.617,      -0.530,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.134,     -88.256,      56.185,       0.000,       0.291,      -0.800,          40,           0,           1,           1,          21,   1.667E-02,
