time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.175,     -88.182,      32.508,       0.000,       0.401,       0.358,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.172,     -88.189,      30.878,       0.000,       1.959,       0.078,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.202,     -88.053,     141.959,       0.000,      -1.671,      -1.079,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.269,     -88.153,      86.612,       0.000,      -0.795,       2.024,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.176,     -88.187,      41.431,       0.000,       1.822,       0.464,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.188,     -88.115,      70.029,       0.000,      -0.168,       0.174,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.216,     -88.083,     139.381,       0.000,      -0.422,       0.191,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.225,     -88.081,     162.543,       0.000,      -0.939,       0.348,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.179,     -88.108,     104.888,       0.000,      -1.460,      -0.445,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.227,     -88.074,     209.802,       0.000,      -0.072,      -1.017,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.213,     -88.065,     187.406,       0.000,       1.013,      -0.352,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.194,     -88.124,      88.087,       0.000,       0.302,       0.296,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.152,     -88.187,     113.778,       0.000,      -0.613,      -1.506,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.195,     -88.059,     183.824,       0.000,      -0.132,      -0.982,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.140,     -88.165,      59.913,       0.000,       0.073,       0.093,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.148,     -88.164,      65.696,       0.000,      -0.185,      -0.808,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.162,     -88.246,      57.401,       0.000,      -0.660,       0.534,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.175,     -88.232,      30.936,       0.000,      -0.473,       1.492,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.123,     -88.207,      31.576,       0.000,      -0.584,      -0.262,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.121,     -88.238,      26.970,       0.000,       0.617,      -0.458,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.123,     -88.256,      59.648,       0.000,       0.291,      -0.734,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.174,     -88.154,     126.499,       0.000,       0.052,       0.519,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.206,     -88.178,      84.737,       0.000,      -2.623,       1.415,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.124,     -88.204,      79.677,       0.000,      -0.875,      -1.545,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.135,     -88.251,     113.900,       0.000,       0.358,       0.438,          36,           0,           1,           1,          25,   1.667E-02,
