time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.168,     -88.180,      31.380,       0.000,       0.401,       0.359,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.166,     -88.188,      30.246,       0.000,       1.959,       0.157,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.194,     -88.060,     139.691,       0.000,      -1.671,      -1.044,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.258,     -88.149,      86.719,       0.000,      -0.794,       1.974,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.169,     -88.185,      40.737,       0.000,       1.822,       0.430,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.181,     -88.116,      71.788,       0.000,      -0.168,       0.115,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.210,     -88.085,     136.580,       0.000,      -0.422,       0.198,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.212,     -88.091,     158.571,       0.000,      -0.940,       0.312,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.174,     -88.108,     106.277,       0.000,      -1.460,      -0.445,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.220,     -88.073,     207.278,       0.000,      -0.072,      -0.989,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.205,     -88.068,     184.032,       0.000,       1.012,      -0.305,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.190,     -88.120,      93.229,       0.000,       0.302,       0.291,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.148,     -88.183,     118.354,       0.000,      -0.613,      -1.469,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.189,     -88.059,     184.458,       0.000,      -0.132,      -0.960,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.134,     -88.166,      57.143,       0.000,       0.073,       0.089,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.141,     -88.167,      58.788,       0.000,      -0.182,      -0.716,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.148,     -88.252,      56.820,       0.000,      -0.660,       0.493,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.165,     -88.230,      31.608,       0.000,      -0.473,       1.423,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.117,     -88.207,      28.041,       0.000,      -0.584,      -0.201,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.114,     -88.238,      30.011,       0.000,       0.617,      -0.417,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.116,     -88.255,      57.977,       0.000,       0.291,      -0.707,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.166,     -88.158,     119.658,       0.000,       0.053,       0.523,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.196,     -88.178,      78.921,       0.000,      -2.623,       1.360,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.118,     -88.203,      75.063,       0.000,      -0.876,      -1.462,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.127,     -88.249,     113.147,       0.000,       0.358,       0.415,          36,           0,           1,           1,          25,   1.667E-02,
 3/ 8/25  2: 0,      37.110,     -88.248,      13.374,       0.000,       0.615,       0.016,          35,           0,           1,           1,          26,   1.667E-02,
