time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.170,     -88.178,      33.376,       0.000,       0.401,       0.359,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.167,     -88.188,      30.318,       0.000,       1.959,       0.148,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.195,     -88.059,     139.897,       0.000,      -1.671,      -1.050,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.259,     -88.151,      85.571,       0.000,      -0.795,       1.981,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.171,     -88.184,      42.747,       0.000,       1.822,       0.434,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.182,     -88.116,      71.688,       0.000,      -0.168,       0.120,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.211,     -88.084,     137.085,       0.000,      -0.422,       0.198,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.213,     -88.091,     158.286,       0.000,      -0.940,       0.315,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.172,     -88.112,     102.331,       0.000,      -1.460,      -0.451,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.221,     -88.073,     207.613,       0.000,      -0.072,      -0.993,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.206,     -88.068,     184.369,       0.000,       1.013,      -0.308,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.190,     -88.120,      92.952,       0.000,       0.302,       0.290,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.149,     -88.184,     118.025,       0.000,      -0.613,      -1.472,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.190,     -88.059,     184.608,       0.000,      -0.132,      -0.960,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.135,     -88.165,      59.968,       0.000,       0.073,       0.088,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.142,     -88.166,      59.651,       0.000,      -0.183,      -0.726,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.150,     -88.250,      54.735,       0.000,      -0.660,       0.497,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.166,     -88.230,      32.809,       0.000,      -0.473,       1.430,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.119,     -88.205,      31.868,       0.000,      -0.584,      -0.212,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.116,     -88.237,      29.621,       0.000,       0.617,      -0.422,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.117,     -88.254,      58.751,       0.000,       0.291,      -0.707,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.167,     -88.158,     120.161,       0.000,       0.053,       0.524,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.197,     -88.178,      79.907,       0.000,      -2.623,       1.365,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.122,     -88.199,      81.530,       0.000,      -0.875,      -1.476,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.128,     -88.249,     112.748,       0.000,       0.358,       0.417,          36,           0,           1,           1,          25,   1.667E-02,
 3/ 8/25  2: 0,      37.110,     -88.249,      15.160,       0.000,       0.615,       0.020,          35,           0,           1,           1,          26,   1.667E-02,
 3/ 8/25  2: 0,      37.185,     -88.172,     167.015,       0.000,      -0.097,       0.449,          34,           0,           1,           1,          27,   1.667E-02,
