time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.176,     -88.160,      25.754,       0.000,       0.401,       0.390,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.173,     -88.168,      32.121,       0.000,       1.959,       0.076,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.211,     -88.022,     145.508,       0.000,      -1.671,      -1.026,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.259,     -88.143,      76.823,       0.000,      -0.792,       1.985,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.181,     -88.159,      43.814,       0.000,       1.822,       0.533,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.188,     -88.099,      66.830,       0.000,      -0.168,       0.239,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.214,     -88.065,     133.140,       0.000,      -0.422,       0.108,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.225,     -88.060,     159.046,       0.000,      -0.939,       0.311,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.178,     -88.095,      96.229,       0.000,      -1.462,      -0.409,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.228,     -88.052,     200.152,       0.000,      -0.073,      -0.979,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.216,     -88.039,     190.398,       0.000,       1.013,      -0.390,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.196,     -88.100,      92.100,       0.000,       0.302,       0.286,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.153,     -88.169,     109.458,       0.000,      -0.613,      -1.434,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.194,     -88.044,     176.314,       0.000,      -0.132,      -0.972,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.144,     -88.145,      55.340,       0.000,       0.073,       0.110,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.157,     -88.135,      75.877,       0.000,      -0.185,      -0.770,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.165,     -88.219,      48.496,       0.000,      -0.660,       0.527,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.174,     -88.209,      28.600,       0.000,      -0.473,       1.463,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.123,     -88.190,      23.484,       0.000,      -0.584,      -0.318,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.123,     -88.219,      25.199,       0.000,       0.617,      -0.514,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.127,     -88.230,      59.716,       0.000,       0.291,      -0.710,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.179,     -88.128,     132.279,       0.000,       0.052,       0.446,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.210,     -88.147,      87.945,       0.000,      -2.623,       1.403,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.132,     -88.175,      93.827,       0.000,      -0.875,      -1.483,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.135,     -88.230,     105.788,       0.000,       0.359,       0.374,          36,           0,           1,           1,          25,   1.667E-02,
 3/ 8/25  2: 0,      37.119,     -88.228,      11.133,       0.000,       0.615,       0.063,          35,           0,           1,           1,          26,   1.667E-02,
