time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.172,     -88.178,      31.118,       0.000,       0.401,       0.364,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.169,     -88.186,      30.623,       0.000,       1.959,       0.119,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.198,     -88.055,     140.458,       0.000,      -1.671,      -1.059,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.264,     -88.146,      87.355,       0.000,      -0.794,       2.001,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.172,     -88.184,      41.293,       0.000,       1.822,       0.446,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.186,     -88.111,      72.861,       0.000,      -0.168,       0.149,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.212,     -88.083,     136.085,       0.000,      -0.422,       0.191,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.219,     -88.082,     161.228,       0.000,      -0.939,       0.326,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.174,     -88.110,     101.478,       0.000,      -1.460,      -0.446,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.223,     -88.072,     207.059,       0.000,      -0.072,      -0.997,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.209,     -88.065,     184.837,       0.000,       1.013,      -0.326,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.193,     -88.117,      93.046,       0.000,       0.302,       0.293,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.150,     -88.182,     115.614,       0.000,      -0.613,      -1.472,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.192,     -88.058,     183.237,       0.000,      -0.132,      -0.960,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.138,     -88.162,      59.959,       0.000,       0.073,       0.095,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.145,     -88.162,      62.865,       0.000,      -0.184,      -0.751,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.153,     -88.248,      56.975,       0.000,      -0.660,       0.503,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.169,     -88.228,      29.804,       0.000,      -0.473,       1.449,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.120,     -88.204,      27.564,       0.000,      -0.584,      -0.240,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.118,     -88.235,      28.263,       0.000,       0.617,      -0.442,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.120,     -88.253,      58.459,       0.000,       0.291,      -0.709,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.171,     -88.153,     124.332,       0.000,       0.053,       0.516,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.200,     -88.175,      80.138,       0.000,      -2.623,       1.376,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.124,     -88.195,      84.867,       0.000,      -0.875,      -1.503,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.130,     -88.248,     109.841,       0.000,       0.358,       0.418,          36,           0,           1,           1,          25,   1.667E-02,
 3/ 8/25  2: 0,      37.114,     -88.246,      13.182,       0.000,       0.615,       0.044,          35,           0,           1,           1,          26,   1.667E-02,
 3/ 8/25  2: 0,      37.189,     -88.168,     170.164,       0.000,      -0.097,       0.456,          34,           0,           1,           1,          27,   1.667E-02,
 3/ 8/25  2: 0,      37.098,     -88.294,      15.524,       0.000,       0.338,      -1.206,          33,           0,           1,           1,          28,   1.667E-02,
 3/ 8/25  2: 0,      37.129,     -88.247,       9.441,       0.000,      -1.399,       0.775,          32,           0,           1,           1,          29,   1.667E-02,
 3/ 8/25  2: 0,      37.133,     -88.242,       1.825,       0.000,       0.770,       1.080,          31,           0,           1,           1,          30,   1.667E-02,
 3/ 8/25  2: 0,      37.109,     -88.258,       4.970,       0.000,      -1.159,       0.527,          30,           0,           1,           1,          31,   1.667E-02,
 3/ 8/25  2: 0,      37.146,     -88.240,      71.040,       0.000,       0.451,       1.004,          29,           0,           1,           1,          32,   1.667E-02,
