time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 3/ 8/25  2: 0,      37.176,     -88.181,      32.610,       0.000,       0.401,       0.358,          60,           0,           1,           1,           1,   1.667E-02,
 3/ 8/25  2: 0,      37.172,     -88.188,      32.206,       0.000,       1.959,       0.073,          59,           0,           1,           1,           2,   1.667E-02,
 3/ 8/25  2: 0,      37.203,     -88.053,     142.080,       0.000,      -1.671,      -1.078,          58,           0,           1,           1,           3,   1.667E-02,
 3/ 8/25  2: 0,      37.269,     -88.153,      86.361,       0.000,      -0.795,       2.026,          57,           0,           1,           1,           4,   1.667E-02,
 3/ 8/25  2: 0,      37.177,     -88.187,      41.279,       0.000,       1.822,       0.466,          56,           0,           1,           1,           5,   1.667E-02,
 3/ 8/25  2: 0,      37.190,     -88.111,      73.647,       0.000,      -0.168,       0.175,          55,           0,           1,           1,           6,   1.667E-02,
 3/ 8/25  2: 0,      37.217,     -88.083,     139.475,       0.000,      -0.422,       0.189,          54,           0,           1,           1,           7,   1.667E-02,
 3/ 8/25  2: 0,      37.224,     -88.084,     160.894,       0.000,      -0.939,       0.346,          53,           0,           1,           1,           8,   1.667E-02,
 3/ 8/25  2: 0,      37.179,     -88.108,     104.755,       0.000,      -1.460,      -0.444,          52,           0,           1,           1,           9,   1.667E-02,
 3/ 8/25  2: 0,      37.228,     -88.073,     209.744,       0.000,      -0.072,      -1.018,          51,           0,           1,           1,          10,   1.667E-02,
 3/ 8/25  2: 0,      37.213,     -88.064,     187.513,       0.000,       1.013,      -0.355,          50,           0,           1,           1,          11,   1.667E-02,
 3/ 8/25  2: 0,      37.194,     -88.123,      88.066,       0.000,       0.302,       0.297,          49,           0,           1,           1,          12,   1.667E-02,
 3/ 8/25  2: 0,      37.152,     -88.187,     113.578,       0.000,      -0.613,      -1.507,          48,           0,           1,           1,          13,   1.667E-02,
 3/ 8/25  2: 0,      37.195,     -88.059,     183.630,       0.000,      -0.132,      -0.983,          47,           0,           1,           1,          14,   1.667E-02,
 3/ 8/25  2: 0,      37.140,     -88.165,      58.234,       0.000,       0.073,       0.094,          46,           0,           1,           1,          15,   1.667E-02,
 3/ 8/25  2: 0,      37.148,     -88.164,      66.088,       0.000,      -0.185,      -0.811,          45,           0,           1,           1,          16,   1.667E-02,
 3/ 8/25  2: 0,      37.162,     -88.246,      56.008,       0.000,      -0.660,       0.536,          44,           0,           1,           1,          17,   1.667E-02,
 3/ 8/25  2: 0,      37.176,     -88.232,      29.594,       0.000,      -0.473,       1.496,          43,           0,           1,           1,          18,   1.667E-02,
 3/ 8/25  2: 0,      37.123,     -88.207,      31.415,       0.000,      -0.584,      -0.265,          42,           0,           1,           1,          19,   1.667E-02,
 3/ 8/25  2: 0,      37.122,     -88.238,      26.989,       0.000,       0.617,      -0.459,          41,           0,           1,           1,          20,   1.667E-02,
 3/ 8/25  2: 0,      37.123,     -88.256,      59.879,       0.000,       0.291,      -0.736,          40,           0,           1,           1,          21,   1.667E-02,
 3/ 8/25  2: 0,      37.175,     -88.154,     126.952,       0.000,       0.052,       0.518,          39,           0,           1,           1,          22,   1.667E-02,
 3/ 8/25  2: 0,      37.206,     -88.177,      85.098,       0.000,      -2.623,       1.417,          38,           0,           1,           1,          23,   1.667E-02,
 3/ 8/25  2: 0,      37.124,     -88.203,      80.037,       0.000,      -0.875,      -1.549,          37,           0,           1,           1,          24,   1.667E-02,
 3/ 8/25  2: 0,      37.135,     -88.250,     113.793,       0.000,       0.358,       0.439,          36,           0,           1,           1,          25,   1.667E-02,
 3/ 8/25  2: 0,      37.117,     -88.249,      16.306,       0.000,       0.615,       0.064,          35,           0,           1,           1,          26,   1.667E-02,
 3/ 8/25  2: 0,      37.195,     -88.170,     174.664,       0.000,      -0.097,       0.466,          34,           0,           1,           1,          27,   1.667E-02,
 3/ 8/25  2: 0,      37.101,     -88.299,      17.853,       0.000,       0.338,      -1.264,          33,           0,           1,           1,          28,   1.667E-02,
 3/ 8/25  2: 0,      37.135,     -88.248,       7.990,       0.000,      -1.399,       0.815,          32,           0,           1,           1,          29,   1.667E-02,
