time,latitude,longitude,height,SIGH,SIGW,SIGV,PAGE,HDWP,PTYP,PGRD,NSORT,mass(01),
 1/ 8/26  2: 0,      37.061,     -88.405,       9.264,       0.000,      -0.428,      -0.014,          60,           0,           1,           1,           1,   1.667E-02,
 1/ 8/26  2: 0,      37.061,     -88.405,      10.103,       0.000,       0.614,      -0.031,          59,           0,           1,           1,           2,   1.667E-02,
 1/ 8/26  2: 0,      37.061,     -88.403,      13.416,       0.000,      -0.428,      -0.015,          58,           0,           1,           1,           3,   1.667E-02,
 1/ 8/26  2: 0,      37.062,     -88.403,      12.623,       0.000,      -0.910,       0.024,          57,           0,           1,           1,           4,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.402,      10.183,       0.000,       1.366,      -0.020,          56,           0,           1,           1,           5,   1.667E-02,
 1/ 8/26  2: 0,      37.061,     -88.401,      13.189,       0.000,       0.568,       0.006,          55,           0,           1,           1,           6,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.400,      11.584,       0.000,       2.144,      -0.002,          54,           0,           1,           1,           7,   1.667E-02,
 1/ 8/26  2: 0,      37.059,     -88.400,       9.301,       0.000,      -1.454,      -0.015,          53,           0,           1,           1,           8,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.399,      11.259,       0.000,       0.491,       0.059,          52,           0,           1,           1,           9,   1.667E-02,
 1/ 8/26  2: 0,      37.060,     -88.398,      15.482,       0.000,      -0.871,       0.008,          51,           0,           1,           1,          10,   1.667E-02,
 1/ 8/26  2: 0,      37.059,     -88.397,      12.442,       0.000,       0.440,       0.003,          50,           0,           1,           1,          11,   1.667E-02,
 1/ 8/26  2: 0,      37.058,     -88.397,      11.313,       0.000,       0.208,      -0.020,          49,           0,           1,           1,          12,   1.667E-02,
 1/ 8/26  2: 0,      37.058,     -88.395,      12.228,       0.000,       0.741,      -0.005,          48,           0,           1,           1,          13,   1.667E-02,
 1/ 8/26  2: 0,      37.058,     -88.395,      15.104,       0.000,       0.707,      -0.002,          47,           0,           1,           1,          14,   1.667E-02,
 1/ 8/26  2: 0,      37.057,     -88.394,      11.121,       0.000,       0.470,       0.006,          46,           0,           1,           1,          15,   1.667E-02,
 1/ 8/26  2: 0,      37.057,     -88.392,      11.250,       0.000,      -2.008,       0.009,          45,           0,           1,           1,          16,   1.667E-02,
 1/ 8/26  2: 0,      37.056,     -88.392,      11.921,       0.000,      -0.814,       0.002,          44,           0,           1,           1,          17,   1.667E-02,
 1/ 8/26  2: 0,      37.056,     -88.392,      12.507,       0.000,       1.245,      -0.010,          43,           0,           1,           1,          18,   1.667E-02,
 1/ 8/26  2: 0,      37.056,     -88.391,      13.399,       0.000,      -0.304,      -0.015,          42,           0,           1,           1,          19,   1.667E-02,
 1/ 8/26  2: 0,      37.056,     -88.389,      13.342,       0.000,      -0.445,       0.021,          41,           0,           1,           1,          20,   1.667E-02,
